ID,DOI,Title,Year,Citations,Impact_Score_FWCI,Authors,Institutions,Countries,Broad_Disciplines,Abstract
https://openalex.org/W4404079617,https://doi.org/10.1002/aepp.13487,The effectiveness of misinformation corrective strategies and implications for consumers' food preferences and policy attitudes,2024,3,1.0343,Lin Lin; David L. Ortega; Jiayu Sun,Michigan State University,US,Economics; Business; Political science,"Abstract This study investigates the effect of food biotechnology misinformation on consumer demand and attitudes toward bioengineered food and tests the effectiveness of pre‐bunking and debunking mitigation strategies. Using choice experiment data from a sample of 1270 U.S. consumers, we find that exposure to misinformation has a significant effect on consumers' food preferences and policy attitudes. We also find that while pre‐bunking is an effective mitigating strategy, debunking by itself is not sufficient. Our findings suggest that preemptively warning consumers about misinformation and the tactics used to spread it is more effective than merely correcting the misinformation afterward."
https://openalex.org/W4206450379,https://doi.org/10.4324/9781003043409-15,Crisis Misinformation and Corrective Strategies in Social-Mediated Crisis Communication,2022,5,4.6332,Toni G.L.A. van der Meer; Yan Jin,,,Psychology; Business; Political science; Computer science,"The social-mediated crisis communication domain is flooded with misinformation in various forms, causing misperception about a crisis and trigger negative crisis outcomes that harm organizational reputation and publics’ wellbeing. Organizations and crisis practitioners must understand the characteristics of crisis misinformation and key actors in misinformation spread on social media in order to fight misinformation via effective corrective communication. By reviewing and synthesizing misinformation and corrective communication theories and published empirical evidence that are directly relevant to social media and crisis communication, this chapter defines crisis misinformation, illustrates a typology of misinformation characteristics, identifies key actors in crisis misinformation spread, and recommends corrective communication strategies for organizations to consider in fighting misinformation in social-mediated crisis communication. Future research directions and key recommendations are made for both scholars and crisis managers in order to advance our knowledge and practice in combating crisis misinformation with enhanced effectiveness."
https://openalex.org/W2736876412,https://doi.org/10.1371/journal.pone.0181640,Misinformation lingers in memory: Failure of three pro-vaccination strategies,2017,269,75.4686,Sara Pluviano; Caroline Watt; Sergio Della Sala,Università degli Studi Suor Orsola Benincasa; University of Edinburgh,GB; IT,Medicine; Psychology; Computer science; Political science,"People's inability to update their memories in light of corrective information may have important public health consequences, as in the case of vaccination choice. In the present study, we compare three potentially effective strategies in vaccine promotion: one contrasting myths vs. facts, one employing fact and icon boxes, and one showing images of non-vaccinated sick children. Beliefs in the autism/vaccines link and in vaccines side effects, along with intention to vaccinate a future child, were evaluated both immediately after the correction intervention and after a 7-day delay to reveal possible backfire effects. Results show that existing strategies to correct vaccine misinformation are ineffective and often backfire, resulting in the unintended opposite effect, reinforcing ill-founded beliefs about vaccination and reducing intentions to vaccinate. The implications for research on vaccines misinformation and recommendations for progress are discussed."
https://openalex.org/W3118516682,https://doi.org/10.3201/eid2702.203139,Addressing COVID-19 Misinformation on Social Media Preemptively and Responsively,2021,152,42.1503,Emily K. Vraga; Leticia Bode,University of Minnesota; Georgetown University,US,Computer science; Psychology; Medicine; Philosophy,"Efforts to address misinformation on social media have special urgency with the emergence of coronavirus disease (COVID-19). In one effort, the World Health Organization (WHO) designed and publicized shareable infographics to debunk coronavirus myths. We used an experiment to test the efficacy of these infographics, depending on placement and source. We found that exposure to a corrective graphic on social media reduced misperceptions about the science of 1 false COVID-19 prevention strategy but did not affect misperceptions about prevention of COVID-19. Lowered misperceptions about the science persisted >1 week later. These effects were consistent when the graphic was shared by the World Health Organization or by an anonymous Facebook user and when the graphics were shared preemptively or in response to misinformation. Health organizations can and should create and promote shareable graphics to improve public knowledge."
https://openalex.org/W3023832873,https://doi.org/10.1016/j.pubrev.2020.101910,The Effects of Corrective Communication and Employee Backup on the Effectiveness of Fighting Crisis Misinformation,2020,73,11.6791,Yan Jin; Toni G.L.A. van der Meer; Yen-I Lee; Xuerong Lu,University of Georgia; University of Amsterdam; Washington State University,US; NL,Business; Psychology; Political science; Computer science; Philosophy,N/A
https://openalex.org/W2991381868,https://doi.org/10.1177/1075547019890073,Correcting Misinformation About Neuroscience via Social Media,2019,65,11.1809,Ciarra N. Smith; Holli H. Seitz,Northwestern University; Mississippi State University,US,Psychology; Computer science; Political science; History,"The rapid spread of misinformation online is of growing concern to communication researchers. Scientific misinformation can lead to ill-founded educational practices, health trends, and public policies. In an online survey-based experiment ( N = 744), we corrected neuroscience myths via a mock Facebook newsfeed. We were able to reduce belief in the myths by presenting the subjects with corrective “related articles” immediately following the myth. We also found limited evidence that readers evaluate articles more positively when they are consistent with preexisting views. Our findings are consistent with previous research and extend research on corrective messaging strategies into a new context."
https://openalex.org/W3048257866,https://doi.org/10.4324/9780429295379-11,Psychological Inoculation Against Fake News,2020,84,111.976,Sander van der Linden; Jon Roozenbeek,University of Cambridge,GB,Psychology; Biology; Computer science,"This chapter explores several proposed solutions to the problem of online misinformation, commonly referred to as “fake news”. We identify four categories of such solutions: algorithmic, legislative, corrective, and psychological. We explore the latter category in detail. Specifically, we investigate the possibility of inoculation against misinformation by preemptively exposing individuals to weakened examples of common strategies used in the production of fake news. We outline our program of research and revisit three of our studies testing the cognitive “inoculation” approach, including two game-based interventions. We provide empirical evidence that serious games can be leveraged as a novel psychological intervention to combat fake news across the political spectrum. Theoretical and practical implications for inoculation theory and research on fake news are discussed."
https://openalex.org/W1994486253,https://doi.org/10.1016/j.spinee.2011.08.006,Fear-avoidance beliefs and pain avoidance in low back pain—translating research into clinical practice,2011,212,11.5782,James Rainville; Rob Smeets; Tom Bendix; Torill H. Tveito; Serge Poiraudeau; Aage Indahl,Inserm; Université Paris Cité; Harvard University; New England Baptist Hospital; Délégation Paris 5; University of Bergen; Assistance Publique – Hôpitaux de Paris; Maastricht University; Glostrup Hospital,US; FR; NO; NL; DK,Medicine,N/A
https://openalex.org/W3126207517,https://doi.org/10.17645/mac.v9i1.3519,"You’re Definitely Wrong, Maybe: Correction Style Has Minimal Effect on Corrections of Misinformation Online",2021,48,12.5292,Cameron Martel; Mohsen Mosleh; David G. Rand,University of Exeter; Massachusetts Institute of Technology,GB; US,Psychology; Computer science; History; Philosophy,"How can online communication most effectively respond to misinformation posted on social media? Recent studies examining the content of corrective messages provide mixed results—several studies suggest that politer, hedged messages may increase engagement with corrections, while others favor direct messaging which does not shed doubt on the credibility of the corrective message. Furthermore, common debunking strategies often include keeping the message simple and clear, while others recommend including a detailed explanation of why the initial misinformation is incorrect. To shed more light on how correction style affects correction efficacy, we manipulated both correction strength (direct, hedged) and explanatory depth (simple explanation, detailed explanation) in response to participants from Lucid (&lt;em&gt;N&lt;/em&gt; = 2,228) who indicated they would share a false story in a survey experiment. We found minimal evidence suggesting that correction strength or depth affects correction engagement, both in terms of likelihood of replying, and accepting or resisting corrective information. However, we do find that analytic thinking and actively open-minded thinking are associated with greater acceptance of information in response to corrective messages, regardless of correction style. Our results help elucidate the efficacy of user-generated corrections of misinformation on social media."
https://openalex.org/W2921762243,https://doi.org/10.1016/j.neuroimage.2019.03.014,Keeping track of ‘alternative facts’: The neural correlates of processing misinformation corrections,2019,58,3.2253,Andrew Gordon; Susanne Quadflieg; J.C. Brooks; Ullrich K. H. Ecker; Stephan Lewandowsky,"University of Bristol; University of California, Davis; University of Western Australia",AU; GB; US,Psychology; Computer science,N/A
https://openalex.org/W2166116241,https://doi.org/10.1016/j.ocecoaman.2015.04.005,Fish tales: Combating fake science in popular media,2015,51,14.3449,Andrew David Thaler; David S. Shiffman,University of Miami; Marine Conservation Institute; Biolog (United States),US,Computer science; Political science; Sociology; Mathematics; Biology; Medicine,"What role should scientist play in correcting bad science, fake science, and pseudoscience presented in popular media? Here, we present a case study based on fake documentaries and discuss effective social media strategies for scientists who want to engage with the public on issues of bad science, pseudoscience, and fake science. We identify two tracks that scientists can use to maximize the broad dissemination of corrective and educational content: that of an audience builder or an expert resource. Finally, we suggests that scientists familiarize themselves with common sources of misinformation within their field, so that they can be better able to respond quickly when factually inaccurate content begins to spread."
https://openalex.org/W4312199340,https://doi.org/10.1111/1468-5973.12447,Debunking misinformation in times of crisis: Exploring misinformation correction strategies for effective internal crisis communication,2022,26,7.4803,Young Kim; Hyun-Ji Lim,Marquette University; William & Mary; University of Wisconsin–Parkside,US,Psychology; Business; Political science; Computer science,"Abstract This study aimed to explore misinformation correction strategies for effective internal crisis communication. Using an experimental study ( N = 1196) with full‐time employees in the United States, this study found that a corrective strategy using more elaborated facts was effective in protecting internal reputation and that timely, proactive communication to debunk crisis misinformation was a significant factor influencing employees' cognitive reactance (counterarguing) and behavioural outcomes. This research can help crisis communicators better understand how to prevent negative outcomes that undermine the effectiveness of evidence‐based communication efforts. Specifically, the findings suggest the use of more proactive internal crisis communication to correct misinformation and to prevent damage caused by employees' misconceptions and related communication behaviours. Furthermore, the study theoretically extends the literature on debunking crisis‐misinformation by elucidating the cognitive and behavioural processes of crisis misinformation in internal crisis communication."
